method.name	dataset.name	sample.id	Pearson	Spearman	RMSE
REGGEN_LAB	DS3	RM12	0.876978377884871	0.483851789407205	0.0864313447517476
REGGEN_LAB	DS3	RM14	-0.104846088987109	-0.228342142153068	0.135917656746435
REGGEN_LAB	DS3	RM16	0.517008387235749	0.614704768862218	0.101176262366633
REGGEN_LAB	DS3	RM18	0.218372779453163	0.614653773714235	0.114906251208223
REGGEN_LAB	DS3	RM2	0.611861010982826	0.459397988271506	0.105837849690486
REGGEN_LAB	DS3	RM20	0.557045454908411	0.334162976045569	0.0973270952137893
REGGEN_LAB	DS3	RM22	0.864098421538062	0.635732569628246	0.0726708939427361
REGGEN_LAB	DS3	RM24	0.668888376101388	0.303550419441083	0.0832780040354213
REGGEN_LAB	DS3	RM26	0.0533753164953547	0.273972602739726	0.108378175063114
REGGEN_LAB	DS3	RM28	0.284318545386832	0.364465638062564	0.068288278396943
REGGEN_LAB	DS3	RM30	0.193378467752241	0.13084683595481	0.0952832642406749
REGGEN_LAB	DS3	RM32	0.96894785483775	0.412994151072364	0.0340113889437884
REGGEN_LAB	DS3	RM34	0.462832040586089	0.023201918599571	0.0938569376691397
REGGEN_LAB	DS3	RM36	0.115348665885455	0.172014653724299	0.146225145778812
REGGEN_LAB	DS3	RM4	0.267247237090607	0.433198123014843	0.121348588525381
REGGEN_LAB	DS3	RM6	0.725548318881519	0.353492195717767	0.103504602302951
REGGEN_LAB	DS3	RM8	0.379446126574933	0.403938380196142	0.0599706375928832
REGGEN_LAB	DS4	RM1	0.854103132784697	0.416666666666667	0.0910384469389992
REGGEN_LAB	DS4	RM11	0.911116428631474	0.668209860194608	0.0879082138151374
REGGEN_LAB	DS4	RM13	0.719155049618347	0.294824440681772	0.0880412558244101
REGGEN_LAB	DS4	RM15	0.363081192301827	0.282759679339852	0.0970044601150152
REGGEN_LAB	DS4	RM17	0.404448104970683	0.609407802798654	0.0962679634917614
REGGEN_LAB	DS4	RM19	0.433795409246769	0.496584529061439	0.0530384529243258
REGGEN_LAB	DS4	RM21	0.821506651950943	0.5	0.0740645269313232
REGGEN_LAB	DS4	RM23	0.908794530903128	0.260411123972023	0.0917433926120254
REGGEN_LAB	DS4	RM25	0.332292592404109	0.0494151845601762	0.108103076044907
REGGEN_LAB	DS4	RM27	0.655198168558237	0.521941345737728	0.0917219164282674
REGGEN_LAB	DS4	RM29	0.845486606026273	0.0547619047619048	0.081247162295566
REGGEN_LAB	DS4	RM3	0.707424209973021	0.25952380952381	0.104296772874316
REGGEN_LAB	DS4	RM31	0.305255247673595	0.215528202427077	0.0973016845852971
REGGEN_LAB	DS4	RM33	-0.278149520800844	-0.0988369365768584	0.110693446822403
REGGEN_LAB	DS4	RM35	0.820467203472448	0.568131471234169	0.0755103029350332
